This file was created using the 202405 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011    ,2.77
199012    ,2.51
199101    ,1.28
199102   ,-2.88
199103    ,2.64
199104   ,-0.37
199105    ,5.10
199106   ,-0.17
199107   ,-0.46
199108    ,2.94
199109    ,1.55
199110    ,0.20
199111   ,-1.77
199112    ,2.68
199201    ,1.15
199202    ,3.33
199203    ,0.59
199204    ,1.81
199205    ,4.42
199206    ,3.26
199207    ,1.38
199208    ,4.41
199209    ,0.76
199210    ,8.95
199211   ,-1.83
199212   ,-6.76
199301    ,2.73
199302   ,-0.74
199303    ,0.25
199304    ,3.88
199305    ,4.18
199306    ,0.71
199307    ,2.25
199308   ,-1.34
199309   ,-2.67
199310    ,1.36
199311   ,-2.59
199312    ,5.10
199401   ,-3.29
199402   ,-1.46
199403   ,-2.82
199404   ,-0.18
199405    ,1.37
199406    ,1.34
199407    ,1.74
199408    ,2.29
199409    ,1.42
199410   ,-0.02
199411    ,0.46
199412    ,1.85
199501    ,3.66
199502   ,-7.48
199503    ,0.43
199504    ,3.83
199505   ,-0.45
199506   ,-0.05
199507   ,-0.19
199508   ,-0.21
199509    ,1.36
199510   ,-1.75
199511    ,4.19
199512    ,0.16
199601    ,1.13
199602   ,-0.67
199603    ,1.86
199604    ,1.11
199605    ,3.91
199606    ,0.03
199607   ,-0.45
199608    ,3.89
199609    ,3.21
199610    ,3.41
199611    ,2.60
199612    ,0.37
199701   ,-2.29
199702    ,1.86
199703    ,1.85
199704    ,6.02
199705    ,3.04
199706    ,1.85
199707    ,6.15
199708    ,3.29
199709   ,-0.69
199710   ,-4.04
199711   ,-0.12
199712    ,4.71
199801    ,9.92
199802  ,-21.62
199803    ,1.05
199804    ,3.28
199805   ,10.20
199806   ,10.88
199807    ,7.27
199808    ,3.40
199809   ,-4.72
199810  ,-36.77
199811   ,-6.45
199812    ,3.59
199901    ,8.28
199902   ,-0.28
199903    ,0.59
199904  ,-15.35
199905   ,-2.69
199906    ,5.07
199907   ,-7.09
199908    ,1.97
199909   ,-3.35
199910    ,3.65
199911    ,4.22
199912    ,8.56
200001    ,2.00
200002    ,4.18
200003    ,1.23
200004  ,-14.18
200005   ,-5.39
200006    ,1.06
200007   ,-3.38
200008   ,-0.51
200009    ,0.42
200010   ,-3.63
200011   ,-2.48
200012    ,1.14
200101   ,-0.27
200102    ,3.55
200103    ,6.52
200104   ,-3.33
200105    ,2.19
200106    ,4.17
200107    ,3.99
200108    ,7.90
200109    ,5.16
200110    ,2.78
200111   ,-5.49
200112   ,-1.38
200201   ,-0.08
200202    ,6.83
200203    ,0.46
200204    ,1.50
200205    ,5.89
200206    ,5.63
200207    ,0.87
200208    ,4.59
200209    ,3.71
200210   ,-0.42
200211   ,-1.76
200212    ,5.00
200301    ,3.08
200302    ,5.47
200303    ,3.59
200304    ,2.04
200305   ,-1.48
200306    ,3.64
200307   ,-2.49
200308   ,-4.57
200309   ,-0.33
200310    ,1.17
200311   ,-0.19
200312    ,1.88
200401    ,0.73
200402    ,1.48
200403    ,0.01
200404   ,-3.99
200405    ,0.99
200406    ,0.40
200407    ,1.62
200408    ,2.45
200409    ,3.15
200410    ,3.70
200411    ,4.16
200412    ,1.45
200501    ,0.71
200502    ,2.19
200503    ,0.17
200504   ,-1.68
200505   ,-0.66
200506    ,3.30
200507   ,-0.72
200508    ,3.73
200509    ,1.93
200510   ,-1.25
200511    ,0.83
200512    ,1.09
200601    ,6.56
200602    ,1.42
200603    ,4.94
200604    ,2.62
200605    ,0.25
200606   ,-0.06
200607    ,0.49
200608    ,1.58
200609   ,-1.28
200610    ,2.42
200611    ,2.92
200612    ,1.69
200701    ,1.00
200702    ,0.68
200703    ,2.87
200704    ,2.52
200705    ,1.17
200706    ,1.18
200707    ,2.11
200708   ,-4.24
200709    ,5.91
200710    ,3.42
200711   ,-1.51
200712   ,-3.27
200801   ,-5.11
200802    ,6.88
200803   ,-1.82
200804    ,3.77
200805    ,5.16
200806    ,6.94
200807   ,-4.37
200808    ,2.30
200809   ,-3.18
200810    ,3.52
200811    ,4.44
200812   ,-9.50
200901    ,2.15
200902    ,0.31
200903  ,-10.59
200904  ,-14.17
200905  ,-18.03
200906    ,0.41
200907   ,-2.51
200908   ,-4.49
200909   ,-0.26
200910    ,1.25
200911    ,1.25
200912    ,0.67
201001   ,-2.71
201002    ,1.00
201003    ,1.67
201004    ,0.42
201005   ,-3.97
201006   ,-1.91
201007    ,0.56
201008    ,3.42
201009   ,-1.23
201010    ,1.32
201011    ,5.14
201012    ,0.21
201101    ,0.41
201102    ,1.15
201103    ,0.31
201104    ,2.12
201105    ,4.31
201106    ,0.15
201107    ,4.37
201108    ,1.00
201109   ,-3.52
201110   ,-1.10
201111    ,5.40
201112   ,-0.11
201201   ,-5.38
201202   ,-4.20
201203    ,5.37
201204    ,1.94
201205    ,4.74
201206    ,3.94
201207    ,3.91
201208    ,1.99
201209   ,-1.13
201210   ,-0.16
201211    ,5.05
201212   ,-1.16
201301    ,1.76
201302    ,3.56
201303    ,6.52
201304    ,7.99
201305   ,-1.01
201306    ,3.53
201307    ,0.81
201308    ,0.92
201309    ,1.53
201310    ,1.89
201311    ,5.20
201312    ,3.41
201401    ,1.14
201402    ,1.90
201403   ,-2.12
201404   ,-2.90
201405    ,1.42
201406    ,0.99
201407   ,-0.26
201408   ,-1.94
201409   ,-0.50
201410    ,2.38
201411    ,4.94
201412    ,4.54
201501    ,5.03
201502    ,0.46
201503    ,6.45
201504    ,5.60
201505    ,5.84
201506    ,3.77
201507   ,-5.45
201508   ,-0.11
201509    ,4.57
201510   ,-3.37
201511    ,4.05
201512    ,2.59
201601   ,-0.70
201602   ,-1.28
201603   ,-4.04
201604   ,-0.64
201605    ,3.42
201606    ,3.58
201607    ,3.42
201608   ,-2.00
201609   ,-1.14
201610   ,-1.57
201611   ,-4.41
201612   ,-0.68
201701    ,2.96
201702   ,-1.92
201703    ,1.89
201704    ,0.56
201705    ,0.11
201706    ,0.85
201707    ,1.30
201708    ,1.60
201709    ,1.60
201710    ,2.27
201711    ,1.18
201712    ,0.06
201801    ,0.99
201802    ,1.92
201803    ,0.95
201804    ,1.70
201805    ,0.96
201806   ,-1.38
201807   ,-0.91
201808    ,0.33
201809   ,-0.19
201810   ,-1.83
201811   ,-3.28
201812    ,0.99
201901   ,-0.42
201902   ,-0.62
201903    ,3.79
201904   ,-0.30
201905    ,5.99
201906    ,3.25
201907   ,-0.16
201908    ,2.37
201909   ,-1.34
201910    ,1.46
201911   ,-0.75
201912    ,1.93
202001    ,3.72
202002   ,-3.15
202003   ,-2.79
202004    ,4.86
202005    ,0.47
202006    ,3.09
202007    ,7.65
202008    ,3.42
202009    ,0.71
202010    ,0.39
202011   ,-8.37
202012    ,6.10
202101    ,5.82
202102   ,-0.72
202103   ,-3.84
202104    ,6.71
202105   ,-2.36
202106    ,0.85
202107   ,-0.96
202108    ,6.41
202109    ,1.30
202110    ,0.49
202111   ,-0.98
202112    ,0.00
202201   ,-6.02
202202    ,1.47
202203    ,4.98
202204    ,3.35
202205   ,-0.25
202206   ,-5.39
202207    ,0.53
202208    ,4.01
202209    ,3.24
202210   ,-1.65
202211   ,-1.36
202212   ,-3.22
202301   ,-1.88
202302    ,1.21
202303    ,0.69
202304    ,0.34
202305   ,-1.10
202306    ,1.16
202307    ,0.27
202308    ,2.66
202309    ,0.01
202310    ,0.52
202311   ,-0.11
202312   ,-0.28
202401    ,6.68
202402    ,1.96
202403    ,3.50
202404   ,-4.27
202405    ,2.35
