This file was created using the 202405 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011   ,-2.59
199012   ,-0.83
199101   ,-2.63
199102   ,-2.21
199103    ,3.17
199104   ,-1.17
199105    ,0.50
199106    ,0.01
199107    ,4.66
199108    ,2.81
199109    ,1.91
199110    ,2.28
199111    ,0.67
199112    ,8.30
199201   ,-1.03
199202   ,-0.48
199203   ,-0.61
199204   ,-2.80
199205    ,0.57
199206   ,-0.56
199207    ,1.24
199208   ,-1.00
199209    ,2.58
199210    ,2.30
199211    ,1.88
199212    ,3.55
199301    ,4.97
199302    ,2.71
199303    ,4.14
199304   ,-0.29
199305    ,0.97
199306    ,4.85
199307    ,2.45
199308    ,2.34
199309    ,3.03
199310   ,-1.51
199311   ,-4.39
199312    ,2.46
199401    ,1.26
199402   ,-0.59
199403   ,-1.40
199404   ,-0.46
199405   ,-2.10
199406   ,-1.27
199407   ,-0.11
199408    ,1.51
199409    ,1.32
199410    ,1.06
199411   ,-0.38
199412    ,3.18
199501   ,-1.18
199502   ,-0.46
199503    ,0.23
199504    ,1.89
199505   ,-0.33
199506    ,3.87
199507    ,3.01
199508    ,0.11
199509    ,2.14
199510    ,2.92
199511   ,-0.55
199512    ,1.32
199601    ,0.90
199602    ,1.59
199603   ,-1.39
199604    ,0.26
199605    ,2.02
199606   ,-1.02
199607   ,-1.45
199608    ,0.80
199609    ,2.62
199610    ,2.47
199611   ,-1.93
199612    ,0.17
199701    ,2.39
199702   ,-3.13
199703    ,0.78
199704    ,4.78
199705   ,-3.89
199706    ,2.74
199707    ,3.71
199708   ,-1.69
199709    ,2.35
199710    ,0.21
199711    ,0.82
199712    ,2.86
199801    ,0.06
199802   ,-0.42
199803    ,1.43
199804    ,0.93
199805    ,1.94
199806    ,7.59
199807    ,3.41
199808    ,0.62
199809   ,-0.15
199810   ,-3.84
199811    ,1.78
199812    ,9.85
199901    ,5.11
199902   ,-1.17
199903    ,1.39
199904   ,-8.08
199905   ,-2.00
199906    ,6.63
199907    ,1.65
199908    ,2.77
199909    ,6.27
199910    ,3.39
199911    ,9.27
199912   ,18.98
200001    ,3.29
200002   ,29.32
200003  ,-12.78
200004  ,-12.41
200005  ,-12.30
200006   ,17.48
200007   ,-4.32
200008    ,8.46
200009   ,-4.47
200010   ,-7.85
200011  ,-11.87
200012    ,4.87
200101  ,-22.28
200102   ,10.92
200103    ,8.23
200104   ,-8.85
200105    ,2.24
200106    ,0.40
200107    ,5.72
200108    ,6.21
200109   ,11.37
200110   ,-7.31
200111   ,-8.66
200112    ,0.20
200201    ,3.80
200202    ,6.31
200203   ,-1.14
200204    ,7.44
200205    ,3.47
200206    ,6.77
200207    ,3.18
200208    ,2.15
200209    ,9.35
200210   ,-5.82
200211  ,-15.52
200212    ,9.66
200301    ,1.68
200302    ,1.96
200303    ,0.82
200304   ,-8.71
200305   ,-6.77
200306   ,-0.75
200307   ,-0.58
200308    ,0.45
200309   ,-0.18
200310    ,4.56
200311    ,1.67
200312   ,-4.86
200401    ,2.39
200402   ,-0.62
200403    ,0.26
