This file was created using the 202405 Bloomberg database.

Missing data are indicated by -99.99.



,WML
200404   ,-5.28
200405    ,1.89
200406    ,2.00
200407   ,-1.99
200408   ,-1.30
200409    ,5.20
200410   ,-0.94
200411    ,3.30
200412   ,-2.45
200501    ,3.22
200502    ,3.75
200503    ,0.97
200504   ,-0.96
200505    ,0.25
200506    ,2.82
200507    ,0.74
200508    ,3.56
200509    ,3.88
200510   ,-2.59
200511    ,0.75
200512    ,1.57
200601    ,4.74
200602   ,-2.79
200603    ,1.75
200604    ,1.63
200605   ,-2.73
200606    ,0.29
200607   ,-1.21
200608   ,-3.26
200609   ,-1.70
200610    ,0.06
200611   ,-0.50
200612    ,0.55
200701    ,0.70
200702   ,-0.74
200703    ,2.13
200704    ,0.49
200705   ,-0.17
200706    ,0.35
200707    ,2.71
200708   ,-0.06
200709    ,5.13
200710    ,5.53
200711   ,-0.80
200712    ,5.24
200801   ,-8.47
200802    ,6.98
200803    ,0.74
200804    ,1.54
200805    ,3.46
200806   ,11.24
200807   ,-7.75
200808   ,-5.14
200809   ,-2.69
200810    ,5.49
200811    ,5.57
200812   ,-3.76
200901   ,-2.61
200902    ,2.37
200903   ,-8.07
200904  ,-25.00
200905  ,-10.78
200906    ,4.75
200907   ,-4.85
200908   ,-6.55
200909   ,-4.03
200910    ,0.42
200911    ,1.96
200912    ,2.58
201001   ,-4.49
201002    ,3.49
201003    ,3.57
201004    ,2.02
201005   ,-0.79
201006   ,-2.50
201007    ,1.56
201008    ,1.05
201009    ,1.54
201010    ,0.99
201011    ,2.33
201012   ,-2.10
201101   ,-0.51
201102    ,2.09
201103    ,2.33
201104    ,0.07
201105   ,-0.61
201106    ,1.42
201107    ,1.10
201108   ,-1.05
201109   ,-3.29
201110   ,-0.39
201111    ,3.02
201112    ,1.15
201201   ,-5.87
201202    ,0.39
201203    ,2.42
201204    ,3.02
201205    ,6.29
201206   ,-0.25
201207    ,1.86
201208   ,-2.32
201209   ,-1.89
201210    ,0.44
201211    ,0.92
201212   ,-2.13
201301   ,-0.64
201302    ,2.20
201303    ,2.00
201304    ,1.58
201305    ,0.08
201306    ,0.98
201307    ,1.19
201308   ,-0.81
201309    ,3.28
201310    ,0.15
201311    ,2.02
201312    ,0.32
201401    ,1.38
201402    ,1.60
201403   ,-3.07
201404   ,-3.84
201405    ,1.00
201406    ,0.82
201407   ,-0.30
201408    ,1.07
201409    ,0.27
201410   ,-0.76
201411    ,1.24
201412    ,0.72
201501    ,4.67
201502   ,-2.31
201503    ,2.48
201504   ,-6.84
201505    ,5.79
201506    ,2.87
201507    ,7.47
201508   ,-2.19
201509    ,3.27
201510   ,-3.20
201511    ,2.52
201512    ,2.94
201601   ,-0.31
201602   ,-4.79
201603   ,-4.15
201604   ,-3.55
201605    ,2.43
201606    ,5.21
201607   ,-2.26
201608   ,-3.44
201609    ,0.19
201610   ,-0.05
201611   ,-4.73
201612   ,-0.93
201701   ,-0.29
201702   ,-2.25
201703   ,-0.62
201704    ,0.22
201705    ,1.36
201706   ,-0.26
201707    ,1.64
201708    ,2.12
201709   ,-0.64
201710    ,4.92
201711   ,-0.01
201712   ,-1.90
201801    ,3.92
201802    ,3.64
201803   ,-1.23
201804    ,0.51
201805    ,4.00
201806   ,-1.30
201807   ,-1.30
201808    ,5.04
201809   ,-0.09
201810   ,-2.33
201811   ,-1.87
201812    ,1.24
201901   ,-5.18
201902    ,0.74
201903    ,2.07
201904   ,-2.09
201905    ,6.89
201906   ,-1.89
201907    ,1.51
201908    ,5.67
201909   ,-6.53
201910   ,-0.85
201911   ,-1.24
201912   ,-1.14
202001    ,5.56
202002    ,1.73
202003    ,6.94
202004   ,-0.61
202005    ,1.74
202006    ,2.40
202007    ,4.91
202008    ,1.84
202009    ,1.12
202010   ,-2.86
202011   ,-7.08
202012   ,-0.47
202101    ,4.68
202102   ,-7.82
202103   ,-6.97
202104    ,1.41
202105    ,1.15
202106    ,1.46
202107   ,-2.53
202108    ,2.33
202109    ,1.19
202110    ,4.86
202111    ,1.61
202112   ,-2.13
202201   ,-1.94
202202    ,1.40
202203    ,2.88
202204    ,3.13
202205    ,1.79
202206    ,0.91
202207   ,-4.18
202208    ,2.88
202209    ,3.48
202210    ,5.77
202211   ,-2.38
202212    ,3.99
202301  ,-12.72
202302    ,0.36
202303   ,-2.03
202304    ,1.61
202305    ,0.92
202306   ,-1.06
202307   ,-3.29
202308    ,2.96
202309   ,-0.67
202310    ,1.45
202311    ,2.96
202312   ,-4.35
202401    ,3.64
202402    ,6.20
202403   ,-0.30
202404   ,-1.61
202405    ,1.45
